time,step,value
1732491030.6630678,303,0.0
1732491038.389854,687,0.0
1732491039.3600852,735,0.0
1732491042.871417,911,0.0
1732491048.033901,1135,1.0
1732491055.4075778,1503,1.0
1732491074.901694,2463,2.0
1732491075.860217,2511,2.0
1732491078.7396262,2655,2.0
1732491098.4970734,3631,3.0
1732491100.097363,3711,3.0
1732491106.818414,4047,3.0
1732491110.5740302,4223,4.0
1732491112.494362,4319,4.0
1732491123.6968284,4879,4.0
1732491124.3372736,4911,4.0
1732491126.8942795,5039,4.0
1732491136.0701115,5487,5.0
1732491142.4807334,5807,5.0
1732491159.6606705,6655,6.0
1732491159.9805741,6671,6.0
1732491166.3839133,6991,6.0
1732491172.0372336,7263,7.0
1732491176.5166922,7487,7.0
1732491196.2604995,8463,8.0
1732491204.9008672,8895,8.0
1732491210.0204904,9151,8.0
1732491212.156043,9247,9.0
1732491212.4760113,9263,9.0
1732491223.040171,9791,9.0
1732491227.519789,10015,9.0
1732491230.080226,10143,9.0
1732491231.680519,10223,9.0
1732491232.125695,10239,9.0
1732491236.057942,10431,10.0
1732491239.2825694,10591,10.0
1732491253.2184987,11263,10.0
1732491255.9664154,11391,11.0
1732491258.6057312,11519,11.0
1732491267.1462758,11935,11.0
1732491270.1130729,12079,11.0
1732491271.4154685,12143,11.0
1732491272.0630152,12175,11.0
1732491276.5535486,12383,12.0
1732491277.2071455,12415,12.0
1732491279.4534972,12527,12.0
1732491282.01393,12655,12.0
1732491283.9340143,12751,12.0
1732491292.8942418,13199,12.0
1732491327.5771859,14911,14.0
1732491333.0373337,15183,14.0
1732491335.9176211,15327,14.0
1732491336.2372224,15343,14.0
1732491338.0528345,15423,15.0
1732491339.9741292,15519,15.0
1732491345.7370138,15807,15.0
1732491346.696541,15855,15.0
1732491349.5769582,15999,15.0
1732491365.1601875,16767,16.0
1732491366.120179,16815,16.0
1732491368.040446,16911,16.0
1732491369.960594,17007,16.0
1732491374.758939,17247,16.0
1732491376.6788533,17343,16.0
1732491378.0833595,17407,16.0
1732491394.8040268,18239,17.0
1732491396.403772,18319,17.0
1732491396.7239616,18335,17.0
1732491402.3807878,18607,18.0
1732491406.538168,18815,18.0
1732491422.7537398,19615,19.0
1732491428.1931741,19887,19.0
1732491434.5943522,20207,19.0
1732491445.6866891,20751,20.0
1732491446.646373,20799,20.0
1732491451.1287684,21023,20.0
1732491452.4080987,21087,20.0
1732491467.6911438,21839,21.0
1732491469.930321,21951,21.0
1732491476.970267,22303,21.0
1732491480.8105495,22495,21.0
1732491483.9121118,22639,22.0
1732491493.5104392,23119,22.0
1732491497.030646,23295,22.0
1732491499.5904553,23423,22.0
1732491501.5108576,23519,22.0
1732491511.6535974,24015,23.0
1732491520.9343436,24479,23.0
1732491525.960591,24719,24.0
1732491531.0799308,24975,24.0
1732491532.3596518,25039,24.0
1732491537.7993758,25311,24.0
1732491548.909481,25855,25.0
1732491562.356916,26527,25.0
1732491565.1362119,26655,26.0
1732491567.0537732,26751,26.0
1732491568.655972,26831,26.0
1732491570.8970265,26943,26.0
1732491573.776709,27087,26.0
1732491578.2585373,27311,26.0
1732491578.8989391,27343,26.0
1732491579.8588343,27391,26.0
1732491582.7404714,27535,26.0
1732491593.8404808,28079,27.0
1732491608.1569624,28783,28.0
1732491613.9192333,29071,28.0
1732491616.8007927,29215,28.0
1732491620.9740014,29423,28.0
1732491621.933989,29471,28.0
1732491624.49728,29599,28.0
1732491637.1937807,30223,29.0
1732491642.6367588,30495,29.0
1732491645.8366835,30655,29.0
1732491646.796773,30703,29.0
1732491653.097058,31007,30.0
1732491658.2170208,31263,30.0
1732491663.980467,31551,30.0
1732491667.8196986,31743,30.0
1732491673.1571198,31999,31.0
1732491675.0769894,32095,31.0
1732491686.9201682,32687,31.0
1732491687.880496,32735,31.0
1732491688.2001538,32751,31.0
1732491691.1400995,32863,32.0
1732491692.4204345,32927,32.0
1732491694.6607099,33039,32.0
1732491711.5307531,33871,33.0
1732491713.7703023,33983,33.0
1732491716.6506388,34127,33.0
1732491723.68968,34479,33.0
1732491724.9705865,34543,33.0
1732491727.5306134,34671,33.0
1732491730.0997963,34799,33.0
1732491731.2755005,34847,34.0
1732491737.6838365,35167,34.0
1732491739.2838044,35247,34.0
1732491739.6045012,35263,34.0
1732491741.203343,35343,34.0
1732491746.0099483,35583,34.0
1732491747.609431,35663,34.0
1732491753.5904768,35951,35.0
1732491758.7140656,36207,35.0
1732491761.913915,36367,35.0
1732491765.7535725,36559,35.0
1732491774.1605904,36959,36.0
1732491777.1856976,37103,36.0
1732491788.4537628,37663,36.0
1732491788.773725,37679,36.0
1732491789.4137092,37711,36.0
1732491803.3989806,38399,37.0
1732491805.956125,38527,37.0
1732491808.8368592,38671,37.0
1732491809.4771078,38703,37.0
1732491811.0767252,38783,37.0
1732491818.986557,39167,38.0
1732491819.3063288,39183,38.0
1732491822.522021,39343,38.0
1732491823.1670134,39375,38.0
1732491824.7695017,39455,38.0
1732491829.2518094,39679,38.0
