time,step,value
1732420235.30444,687,0.0
1732420235.6894,735,0.0
1732420242.2755451,1503,1.0
1732420251.8631752,2655,2.0
1732420259.9766014,3631,3.0
1732420260.6261513,3711,3.0
1732420263.3509471,4047,3.0
1732420265.757187,4319,4.0
1732420270.2941165,4879,4.0
1732420270.5528073,4911,4.0
1732420271.5912232,5039,4.0
1732420292.0696688,7487,7.0
1732420300.1841836,8463,8.0
1732420305.7596016,9151,8.0
1732420306.8167498,9247,9.0
1732420313.0394697,10015,9.0
1732420314.7291405,10223,9.0
1732420323.4799645,11263,10.0
1732420324.6042283,11391,11.0
1732420335.049742,12655,12.0
1732420335.8297966,12751,12.0
1732420339.4989917,13199,12.0
1732420362.7913892,15999,15.0
1732420369.62588,16815,16.0
1732420374.5426667,17407,16.0
1732420384.5981445,18607,18.0
1732420395.172913,19887,19.0
1732420402.435573,20751,20.0
1732420402.824336,20799,20.0
1732420404.6400814,21023,20.0
1732420405.1582057,21087,20.0
1732420411.456957,21839,21.0
1732420412.365302,21951,21.0
1732420418.1344233,22639,22.0
1732420433.3884873,24479,23.0
1732420437.6048775,24975,24.0
1732420451.6269422,26655,26.0
1732420457.248644,27343,26.0
1732420457.6374416,27391,26.0
1732420471.6518366,29071,28.0
1732420475.9290195,29599,28.0
1732420481.1897664,30223,29.0
1732420485.0888662,30703,29.0
1732420496.8209023,32095,31.0
1732420504.809039,33039,32.0
1732420518.2720656,34671,33.0
1732420526.52833,35663,34.0
1732420532.4399803,36367,35.0
1732420543.1519535,37663,36.0
1732420549.3499992,38399,37.0
1732420551.5595126,38671,37.0
1732420551.8186584,38703,37.0
1732420552.505266,38783,37.0
1732420555.8246796,39167,38.0
1732420555.95471,39183,38.0
1732420557.5109777,39375,38.0
1732420558.1600637,39455,38.0
1732420561.923438,39919,38.0
1732420582.10729,42319,41.0
1732420589.3122048,43183,42.0
1732420619.0205839,46767,45.0
1732420628.3107083,47887,46.0
1732420628.699199,47935,46.0
1732420644.4512472,49823,48.0
1732420653.471893,50911,49.0
1732420655.5441175,51167,49.0
1732420655.67415,51183,49.0
1732420663.2656415,52095,50.0
1732420686.30013,54847,53.0
1732420704.397282,57023,55.0
1732420704.6566722,57055,55.0
1732420711.2198973,57839,56.0
1732420720.4943032,58959,57.0
1732420730.8686867,60111,58.0
1732420731.8387516,60223,58.0
1732420746.9135263,61903,60.0
1732420750.7858934,62351,60.0
1732420761.919855,63599,62.0
1732420770.0397987,64575,63.0
1732420782.9718614,66127,64.0
1732420787.718981,66687,65.0
1732420798.8738766,68031,66.0
1732420809.7577548,69343,67.0
1732420821.8517516,70783,69.0
1732420824.0582352,71055,69.0
1732420844.24191,73503,71.0
1732420844.7559195,73567,71.0
1732420845.7829087,73695,71.0
1732420860.4009492,75455,73.0
1732420862.2021458,75679,73.0
1732420867.1707609,76271,74.0
1732420874.1841953,77119,75.0
1732420884.177273,78335,76.0
1732420901.6796308,80463,78.0
1732420905.2811058,80895,78.0
1732420932.806122,84223,82.0
1732420934.605764,84447,82.0
1732420942.549708,85407,83.0
1732420959.322451,87439,85.0
1732420976.2296398,89487,87.0
1732420981.947804,90175,88.0
1732420992.98825,91519,89.0
1732421000.3252733,92399,90.0
1732421001.2234569,92511,90.0
1732421005.8521917,93087,90.0
1732421016.7239392,94383,92.0
1732421044.0362868,97695,95.0
1732421046.4793346,97999,95.0
1732421055.7039099,99103,96.0
1732421067.074949,100463,98.0
1732421085.724238,102735,100.0
1732421092.8003354,103583,101.0
1732421096.5297213,104047,101.0
1732421109.0320194,105551,103.0
1732421110.5804238,105743,103.0
1732421129.186284,107999,105.0
1732421143.7576883,109759,107.0
1732421162.950687,112095,109.0
1732421168.297983,112735,110.0
1732421188.5493479,115199,112.0
1732421197.7849061,116319,113.0
1732421207.9017684,117551,114.0
1732421208.2952967,117599,114.0
1732421210.3192766,117823,115.0
1732421214.5630426,118351,115.0
1732421250.525385,122719,119.0
1732421251.8091667,122879,119.0
1732421256.3845148,123423,120.0
1732421276.8755937,125919,122.0
1732421286.6574209,127087,124.0
1732421301.447989,128895,125.0
1732421306.7911284,129535,126.0
1732421325.3522346,131775,128.0
1732421325.9936466,131855,128.0
1732421327.1514418,131999,128.0
1732421342.882152,133903,130.0
1732421344.1681814,134063,130.0
1732421356.3026292,135519,132.0
1732421360.7226346,136063,132.0
1732421392.2989056,139887,136.0
1732421396.1123981,140335,137.0
1732421398.8128633,140671,137.0
1732421399.7125976,140783,137.0
1732421407.240785,141695,138.0
1732421441.9491026,145903,142.0
1732421449.2473946,146783,143.0
1732421453.3584235,147295,143.0
1732421464.6869366,148655,145.0
1732421468.9280713,149183,145.0
1732421480.074139,150527,146.0
1732421481.8303502,150735,147.0
1732421493.472549,152159,148.0
1732421496.4260068,152527,148.0
1732421498.8130152,152799,149.0
1732421517.6623843,155087,151.0
1732421525.963234,156095,152.0
1732421548.9569986,158879,155.0
1732421573.8942344,161903,158.0
1732421574.7928848,162015,158.0
1732421589.7621915,163839,159.0
1732421600.4290488,165103,161.0
1732421605.9654903,165791,161.0
1732421617.0398195,167119,163.0
1732421621.0219426,167615,163.0
1732421623.0768366,167871,163.0
1732421630.527401,168767,164.0
1732421636.5101879,169487,165.0
1732421636.6392252,169503,165.0
1732421639.465409,169855,165.0
1732421647.396863,170815,166.0
1732421648.5601277,170959,166.0
1732421655.3239625,171775,167.0
1732421655.711125,171823,167.0
1732421660.705018,172415,168.0
1732421663.661632,172783,168.0
1732421664.6895804,172911,168.0
1732421670.6697667,173631,169.0
1732421681.2753305,174927,170.0
1732421683.7933204,175215,171.0
1732421693.8195715,176431,172.0
1732421722.5086813,179919,175.0
1732421729.4065583,180751,176.0
1732421731.9903955,181071,176.0
1732421736.0494032,181551,177.0
1732421737.212161,181695,177.0
1732421741.5903244,182239,177.0
1732421752.375316,183519,179.0
1732421757.1300938,184111,179.0
1732421766.717942,185279,180.0
1732421781.5822394,187071,182.0
1732421794.087075,188575,184.0
1732421794.7276564,188655,184.0
1732421799.362599,189231,184.0
1732421816.0307436,191247,186.0
1732421819.4484632,191647,187.0
1732421822.0215037,191967,187.0
1732421835.8092837,193631,189.0
1732421850.6805863,195455,190.0
1732421857.5574684,196287,191.0
1732421885.3637033,199647,194.0
1732421912.253045,202879,198.0
1732421920.3050995,203855,199.0
1732421930.4517922,205087,200.0
1732421932.6405594,205359,200.0
1732421936.121568,205791,200.0
1732421938.9008076,206111,201.0
1732421940.4434054,206303,201.0
1732421942.3740034,206543,201.0
1732421959.3087318,208591,203.0
1732421980.4672651,211151,206.0
1732421980.982698,211215,206.0
1732421993.6757045,212767,207.0
1732421999.1519444,213423,208.0
1732422005.7877858,214223,209.0
1732422008.7424753,214591,209.0
1732422016.4009264,215519,210.0
1732422033.4421144,217583,212.0
1732422043.0568595,218751,213.0
1732422068.498805,221839,216.0
1732422086.894189,224063,218.0
1732422095.4755366,225103,219.0
1732422096.3765652,225215,219.0
1732422099.7965088,225615,220.0
1732422102.1101313,225903,220.0
1732422109.8045943,226831,221.0
1732422116.3133314,227615,222.0
1732422140.587583,230527,225.0
1732422141.36165,230623,225.0
1732422145.2200103,231103,225.0
1732422146.3861697,231247,225.0
